Classification;HE vs. PhLP;HE vs. UVFP;PhLP vs. UVFP;3-Class;HE vs. All (*);PhLP vs. All (*);UVFP vs. All (*)
Acoustic;84.66 ± 1.00;90.24 ± 0.72;69.82 ± 1.30;67.65 ± 1.11;88.08 ± 0.62;70.32 ± 1.12;76.91 ± 0.94
Spectral;86.01 ± 1.58;86.25 ± 1.32;62.74 ± 2.99;65.78 ± 2.05;88.53 ± 1.02;70.94 ± 2.05;72.09 ± 2.10
Combined;93.03 ± 1.23;92.73 ± 1.17;74.28 ± 1.93;76.15 ± 1.28;91.80 ± 0.66;79.48 ± 1.34;81.01 ± 1.23
